141.8.142.38 - - [29/Apr/2022:07:23:17 -0400] "HEAD / HTTP/1.1" 200 - "-" "Mozilla/5.0 (compatible; YandexBrowserAPI/1.0)"
91.107.85.85 - - [29/Apr/2022:07:23:34 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
91.107.85.85 - - [29/Apr/2022:07:23:34 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://insure.pro.auto/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
91.107.85.85 - - [29/Apr/2022:07:23:36 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
91.107.85.85 - - [29/Apr/2022:07:23:36 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://insure.pro.auto/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:45 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:45 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://192.168.100.242/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:47 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:47 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://192.168.100.242/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:48 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:48 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://192.168.100.242/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:59 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.150.15 - - [29/Apr/2022:07:23:59 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://192.168.100.242/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
34.140.248.32 - - [29/Apr/2022:07:25:56 -0400] "GET / HTTP/1.1" 200 12 "-" "python-requests/2.27.1"
87.229.213.2 - - [29/Apr/2022:07:29:05 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
91.107.85.85 - - [29/Apr/2022:07:30:59 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
91.107.85.85 - - [29/Apr/2022:07:30:59 -0400] "GET /favicon.ico HTTP/1.1" 200 12 "http://insure.pro.auto/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
192.168.100.133 - - [29/Apr/2022:07:32:07 -0400] "GET / HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.132 YaBrowser/22.3.1.892 Yowser/2.5 Safari/537.36"
